0.0381 0.0088976  0.0115562 -6.86559e-07
0.0382 0.00886801  0.0116266 -6.95568e-07
0.0383 0.00883866  0.0116973 -7.04578e-07
0.0384 0.00880953  0.0117682 -7.13587e-07
0.0385 0.00878063  0.0118393 -7.22596e-07
0.0386 0.00875195  0.0119106 -7.31605e-07
0.0387 0.00872349  0.0119821 -7.40615e-07
0.0388 0.00869525  0.0120539 -7.49624e-07
0.0389 0.00866723  0.0121259 -7.58633e-07
0.039 0.00863943  0.0121981 -7.67642e-07
0.0391 0.00861184  0.0122705 -7.76652e-07
0.0392 0.00858446  0.0123432 -7.85661e-07
0.0393 0.0085573  0.012416 -7.9467e-07
0.0394 0.00853035  0.0124891 -8.03679e-07
0.0395 0.00850361  0.0125623 -8.12688e-07
0.0396 0.00847707  0.0126358 -8.21698e-07
0.0397 0.00845075  0.0127095 -8.30707e-07
0.0398 0.00842462  0.0127834 -8.39716e-07
0.0399 0.0083987  0.0128575 -8.48725e-07
0.04 0.00837298  0.0129318 -8.57734e-07
0.0401 0.00834747  0.0130062 -8.66743e-07
0.0402 0.00832215  0.0130809 -8.75753e-07
0.0403 0.00829702  0.0131558 -8.84762e-07
0.0404 0.0082721  0.0132309 -8.93771e-07
0.0405 0.00824736  0.0133062 -9.0278e-07
0.0406 0.00822282  0.0133816 -9.11789e-07
0.0407 0.00819848  0.0134573 -9.20798e-07
0.0408 0.00817432  0.0135332 -9.29808e-07
0.0409 0.00815035  0.0136092 -9.38817e-07
0.041 0.00812656  0.0136854 -9.47826e-07
0.0411 0.00810296  0.0137618 -9.56835e-07
0.0412 0.00807955  0.0138384 -9.65844e-07
0.0413 0.00805631  0.0139152 -9.74853e-07
0.0414 0.00803326  0.0139922 -9.83862e-07
0.0415 0.00801039  0.0140693 -9.92871e-07
0.0416 0.00798769  0.0141466 -1.00188e-06
0.0417 0.00796517  0.0142241 -1.01089e-06
0.0418 0.00794283  0.0143018 -1.0199e-06
0.0419 0.00792065  0.0143796 -1.02891e-06
0.042 0.00789865  0.0144576 -1.03956e-06
0.0421 0.00787682  0.0145358 -1.04852e-06
0.0422 0.00785516  0.0146141 -1.05749e-06
0.0423 0.00783367  0.0146926 -1.06494e-06
0.0424 0.00781235  0.0147713 -1.07395e-06
0.0425 0.00779118  0.0148502 -1.08296e-06
0.0426 0.00777018  0.0149292 -1.09197e-06
0.0427 0.00774935  0.0150084 -1.10098e-06
0.0428 0.00772867  0.0150877 -1.10999e-06
0.0429 0.00770815  0.0151672 -1.119e-06
0.043 0.00768779  0.0152468 -1.12801e-06
0.0431 0.00766759  0.0153266 -1.13701e-06
0.0432 0.00764754  0.0154066 -1.14602e-06
0.0433 0.00762765  0.0154867 -1.15503e-06
0.0434 0.00760791  0.015567 -1.16404e-06
0.0435 0.00758831  0.0156474 -1.17305e-06
0.0436 0.00756887  0.015728 -1.18206e-06
0.0437 0.00754958  0.0158087 -1.19107e-06
0.0438 0.00753043  0.0158895 -1.20008e-06
0.0439 0.00751143  0.0159706 -1.20909e-06
0.044 0.00749257  0.0160517 -1.2181e-06
0.0441 0.00747386  0.016133 -1.22711e-06
0.0442 0.00745529  0.0162144 -1.23611e-06
0.0443 0.00743685  0.016296 -1.24512e-06
0.0444 0.00741856  0.0163777 -1.25413e-06
0.0445 0.00740041  0.0164596 -1.26314e-06
0.0446 0.00738239  0.0165416 -1.27215e-06
0.0447 0.00736451  0.0166237 -1.28116e-06
0.0448 0.00734676  0.016706 -1.29017e-06
0.0449 0.00732914  0.0167884 -1.29918e-06
0.045 0.00731166  0.0168709 -1.30819e-06
0.0451 0.00729431  0.0169535 -1.3172e-06
0.0452 0.00727708  0.0170363 -1.3262e-06
0.0453 0.00725999  0.0171192 -1.33521e-06
0.0454 0.00724302  0.0172023 -1.34422e-06
0.0455 0.00722617  0.0172854 -1.35323e-06
0.0456 0.00720946  0.0173687 -1.36224e-06
0.0457 0.00719286  0.0174521 -1.37125e-06
0.0458 0.00717639  0.0175357 -1.38026e-06
0.0459 0.00716004  0.0176193 -1.38927e-06
0.046 0.00714381  0.0177031 -1.39827e-06
0.0461 0.0071277  0.017787 -1.40728e-06
0.0462 0.00711171  0.017871 -1.41629e-06
0.0463 0.00709583  0.0179552 -1.4253e-06
0.0464 0.00708007  0.0180394 -1.43431e-06
0.0465 0.00706442  0.0181238 -1.44332e-06
0.0466 0.00704889  0.0182083 -1.45233e-06
0.0467 0.00703347  0.0182928 -1.46134e-06
0.0468 0.00701816  0.0183775 -1.47035e-06
0.0469 0.00700297  0.0184624 -1.47935e-06
0.047 0.00698788  0.0185473 -1.48836e-06
0.0471 0.0069729  0.0186323 -1.49737e-06
0.0472 0.00695803  0.0187174 -1.50638e-06
0.0473 0.00694326  0.0188027 -1.51539e-06
0.0474 0.0069286  0.018888 -1.5244e-06
0.0475 0.00691405  0.0189735 -1.53341e-06
0.0476 0.00689959  0.019059 -1.54242e-06
0.0477 0.00688524  0.0191447 -1.55142e-06
0.0478 0.006871  0.0192305 -1.56043e-06
0.0479 0.00685685  0.0193163 -1.56944e-06
0.048 0.0068428  0.0194023 -1.57845e-06
0.0481 0.00682885  0.0194884 -1.58746e-06
0.0482 0.006815  0.0195745 -1.59647e-06
0.0483 0.00680125  0.0196608 -1.60548e-06
0.0484 0.00678759  0.0197471 -1.61449e-06
0.0485 0.00677403  0.0198336 -1.62349e-06
0.0486 0.00676056  0.0199201 -1.6325e-06
0.0487 0.00674719  0.0200067 -1.64151e-06
0.0488 0.00673391  0.0200935 -1.65052e-06
0.0489 0.00672072  0.0201803 -1.65953e-06
0.049 0.00670762  0.0202672 -1.66854e-06
0.0491 0.00669461  0.0203542 -1.67755e-06
0.0492 0.00668169  0.0204413 -1.68656e-06
0.0493 0.00666886  0.0205285 -1.69556e-06
0.0494 0.00665612  0.0206157 -1.70457e-06
0.0495 0.00664346  0.0207031 -1.71358e-06
0.0496 0.00663089  0.0207905 -1.72259e-06
0.0497 0.0066184  0.020878 -1.7316e-06
0.0498 0.006606  0.0209657 -1.74061e-06
0.0499 0.00659368  0.0210533 -1.74962e-06
0.05 0.00658145  0.0211411 -1.75863e-06
0.0501 0.0065693  0.021229 -1.76763e-06
0.0502 0.00655722  0.0213169 -1.77664e-06
0.0503 0.00654523  0.0214049 -1.78565e-06
0.0504 0.00653332  0.021493 -1.79466e-06
0.0505 0.00652149  0.0215812 -1.80367e-06
0.0506 0.00650974  0.0216695 -1.81268e-06
0.0507 0.00649806  0.0217578 -1.82169e-06
0.0508 0.00648646  0.0218462 -1.83069e-06
0.0509 0.00647494  0.0219347 -1.8397e-06
0.051 0.00646349  0.0220233 -1.84871e-06
0.0511 0.00645212  0.0221119 -1.85772e-06
0.0512 0.00644082  0.0222006 -1.86673e-06
0.0513 0.0064296  0.0222894 -1.87574e-06
0.0514 0.00641845  0.0223782 -1.88475e-06
0.0515 0.00640737  0.0224672 -1.89376e-06
0.0516 0.00639636  0.0225562 -1.90276e-06
0.0517 0.00638542  0.0226452 -1.91177e-06
0.0518 0.00637456  0.0227344 -1.92078e-06
0.0519 0.00636376  0.0228236 -1.92979e-06
0.052 0.00635303  0.0229129 -1.9388e-06
0.0521 0.00634237  0.0230022 -1.94781e-06
0.0522 0.00633178  0.0230917 -1.95681e-06
0.0523 0.00632126  0.0231811 -1.96582e-06
0.0524 0.0063108  0.0232707 -1.97483e-06
0.0525 0.00630041  0.0233603 -1.98384e-06
0.0526 0.00629008  0.02345 -1.99285e-06
0.0527 0.00627982  0.0235397 -2.00186e-06
0.0528 0.00626962  0.0236295 -2.01087e-06
0.0529 0.00625949  0.0237194 -2.01987e-06
0.053 0.00624941  0.0238094 -2.02888e-06
0.0531 0.00623941  0.0238994 -2.03789e-06
0.0532 0.00622946  0.0239894 -2.0469e-06
0.0533 0.00621957  0.0240795 -2.05591e-06
0.0534 0.00620975  0.0241697 -2.06492e-06
0.0535 0.00619998  0.02426 -2.07392e-06
0.0536 0.00619028  0.0243503 -2.08293e-06
0.0537 0.00618064  0.0244406 -2.09194e-06
0.0538 0.00617105  0.0245311 -2.10095e-06
0.0539 0.00616152  0.0246215 -2.10996e-06
0.054 0.00615205  0.0247121 -2.11897e-06
0.0541 0.00614264  0.0248027 -2.12797e-06
0.0542 0.00613328  0.0248933 -2.13698e-06
0.0543 0.00612398  0.024984 -2.14599e-06
0.0544 0.00611474  0.0250748 -2.155e-06
0.0545 0.00610555  0.0251656 -2.16401e-06
0.0546 0.00609641  0.0252565 -2.17302e-06
0.0547 0.00608733  0.0253474 -2.18202e-06
0.0548 0.0060783  0.0254384 -2.19103e-06
0.0549 0.00606933  0.0255294 -2.20004e-06
0.055 0.00606041  0.0256205 -2.20905e-06
0.0551 0.00605154  0.0257117 -2.21806e-06
0.0552 0.00604273  0.0258029 -2.22706e-06
0.0553 0.00603396  0.0258941 -2.23607e-06
0.0554 0.00602525  0.0259854 -2.24508e-06
